,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Relationship_status,Education_status,Age,Total_kids,Family_members,Total_Mnt,Total_Purchases,Clusters
0,58138.0,0.0,0,58,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,1.3862943611198906,2.1972245773362196,2.3978952727983707,1.6094379124341003,7,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,Single,Graduate,65,0,1,7.388946097618437,22,2
1,46344.0,0.6931471805599453,1,38,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0986122886681098,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Single,Graduate,68,2,3,3.332204510175204,4,0
2,71613.0,0.0,0,26,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,0.6931471805599453,2.1972245773362196,1.0986122886681098,2.3978952727983707,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Graduate,57,0,2,6.655440350367647,20,2
3,26646.0,0.6931471805599453,0,26,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,1.0986122886681098,1.0986122886681098,0.0,1.6094379124341003,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Graduate,38,1,3,3.9889840465642745,6,0
4,58293.0,0.6931471805599453,0,94,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,1.791759469228055,1.791759469228055,1.3862943611198906,1.9459101490553132,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Post_Graduate,41,1,3,6.0473721790462776,14,3
5,62513.0,0.0,1,16,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,1.0986122886681098,1.9459101490553132,1.6094379124341003,2.3978952727983707,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Post_Graduate,55,1,3,6.57507584059962,20,1
6,55635.0,0.0,1,34,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,1.6094379124341003,2.0794415416798357,1.3862943611198906,2.0794415416798357,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Single,Graduate,51,1,2,6.3818160174060985,17,1
7,33454.0,0.6931471805599453,0,32,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,1.0986122886681098,1.6094379124341003,0.0,1.6094379124341003,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Post_Graduate,37,1,3,5.135798437050262,8,3
8,30351.0,0.6931471805599453,0,19,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.0,1.0986122886681098,9,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,Partner,Post_Graduate,48,1,3,3.8501476017100584,5,0
9,5648.0,0.6931471805599453,1,68,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.6390573296152584,0.6931471805599453,0.6931471805599453,0.0,0.0,20,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Post_Graduate,72,2,4,3.912023005428146,1,0
10,7500.0,0.0,0,59,1.9459101490553132,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216,0.6931471805599453,1.0986122886681098,0.0,1.3862943611198906,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Undergraduate,46,0,2,4.127134385045092,5,0
11,63033.0,0.0,0,82,5.272999558563747,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463,0.6931471805599453,1.3862943611198906,1.6094379124341003,2.1972245773362196,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Single,Graduate,63,0,1,7.005789019253503,15,2
12,59354.0,0.6931471805599453,1,53,5.455321115357702,1.0986122886681098,3.9889840465642745,1.3862943611198906,1.791759469228055,2.70805020110221,1.3862943611198906,1.9459101490553132,0.6931471805599453,1.791759469228055,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Single,Post_Graduate,70,2,3,5.739792912179234,12,1
13,17323.0,0.0,0,38,1.3862943611198906,2.70805020110221,2.8903717578961645,1.9459101490553132,0.6931471805599453,1.791759469228055,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Graduate,35,0,2,3.8501476017100584,4,0
14,82800.0,0.0,0,23,6.914730892718563,3.1354942159291497,4.7535901911063645,4.0943445622221,4.23410650459726,3.828641396489095,0.6931471805599453,2.0794415416798357,1.9459101490553132,2.5649493574615367,3,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,Single,Post_Graduate,76,0,1,7.182352111885263,25,2
15,41850.0,0.6931471805599453,1,51,3.9889840465642745,1.791759469228055,2.995732273553991,1.0986122886681098,2.6390573296152584,1.6094379124341003,1.3862943611198906,1.3862943611198906,0.0,1.3862943611198906,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Graduate,42,2,4,4.574710978503383,6,0
16,37760.0,0.0,0,20,4.442651256490317,1.791759469228055,3.6635616461296463,5.017279836814924,2.5649493574615367,3.367295829986474,1.0986122886681098,1.6094379124341003,0.6931471805599453,1.9459101490553132,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Graduate,76,0,2,5.762051382780177,11,1
17,76995.0,0.0,1,91,6.920671504248683,4.394449154672439,6.212606095751519,0.0,2.833213344056216,5.176149732573829,1.0986122886681098,2.4849066497880004,1.6094379124341003,2.302585092994046,5,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,Partner,Post_Graduate,73,1,3,7.48605261786314,24,1
18,33812.0,0.6931471805599453,0,86,1.6094379124341003,2.8903717578961645,2.995732273553991,3.4339872044851463,3.2188758248682006,3.6888794541139363,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.3862943611198906,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Single,Undergraduate,37,1,2,4.897839799950911,6,0
19,37040.0,0.0,0,41,4.465908118654584,1.0986122886681098,4.30406509320417,4.248495242049359,3.6635616461296463,3.8918202981106265,0.6931471805599453,1.6094379124341003,1.0986122886681098,1.791759469228055,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Graduate,40,0,2,5.75890177387728,11,1
20,2447.0,0.6931471805599453,0,42,0.6931471805599453,0.6931471805599453,7.453561871643373,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.772588722239781,0.0,3.367295829986474,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Graduate,43,1,3,7.456454555176209,28,0
21,58607.0,0.0,1,63,6.7661917146603505,0.0,4.465908118654584,0.0,0.0,2.995732273553991,1.3862943611198906,1.0986122886681098,1.3862943611198906,2.302585092994046,8,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,Partner,Post_Graduate,73,1,3,6.880384082186005,14,3
22,65324.0,0.0,1,0,5.953243334287785,0.0,4.634728988229636,3.091042453358316,3.4965075614664802,1.791759469228055,1.3862943611198906,1.9459101490553132,1.0986122886681098,2.302585092994046,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Post_Graduate,68,1,3,6.300785794663244,17,1
23,40689.0,0.0,1,69,5.602118820879701,1.3862943611198906,3.332204510175204,3.6888794541139363,1.9459101490553132,4.605170185988092,2.0794415416798357,2.0794415416798357,0.6931471805599453,1.791759469228055,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partner,Graduate,71,1,3,6.09807428216624,13,3
